id,value
javascript,114568
html,19325
angularjs-directive,16230
jquery,14965
ionic-framework,9683
json,9200
node.js,8924
angularjs-scope,8519
angular-ui-router,8493
css,7914
angularjs-ng-repeat,6989
twitter-bootstrap,5001
php,4351
jasmine,3728
html5,3661
angular-ui-bootstrap,3631
cordova,3629
arrays,3409
unit-testing,3312
typescript,3244
