id,value
ruby,93989
ruby-on-rails-3,34322
ruby-on-rails-4,25471
activerecord,19407
javascript,13733
devise,11480
jquery,11095
rspec,10650
heroku,9865
postgresql,7800
ajax,6139
mysql,5796
forms,4671
json,4585
rubygems,4458
ruby-on-rails-3.2,4404
html,4339
sql,4076
css,3883
ruby-on-rails-5,3753
