id,value
ios,161034
iphone,73389
xcode,33213
uitableview,19532
cocoa,18072
cocoa-touch,17320
macos,10454
swift,9639
ipad,9602
core-data,7818
uiview,5976
uiviewcontroller,5153
ios7,5004
nsstring,4270
uiscrollview,3819
json,3744
ios5,3646
ios4,3583
uiimageview,3458
uibutton,3418
