id,value
c++11,37287
c,33451
qt,33240
templates,22839
boost,19243
arrays,19078
windows,17183
pointers,16877
opencv,15637
vector,14899
winapi,13448
linux,13063
multithreading,12978
visual-c++,12969
string,12049
stl,11675
opengl,11065
class,10778
visual-studio,9825
gcc,9564
