id,value
android,206255
spring,77666
swing,68461
eclipse,51756
hibernate,43228
arrays,37205
multithreading,31353
maven,30977
xml,30077
json,27513
spring-mvc,25681
string,25460
jsp,24761
mysql,23464
servlets,20609
jpa,20536
arraylist,19609
tomcat,19528
regex,18958
jdbc,17589
