id,value
mysql,100341
sql-server,98660
oracle,41694
php,41047
database,31891
c#,26796
tsql,26233
sql-server-2008,24589
postgresql,22504
java,13525
join,13174
ms-access,10920
select,9772
stored-procedures,9312
asp.net,9104
sqlite,7959
sql-server-2005,7926
sql-server-2012,6422
plsql,6090
oracle11g,5599
