id,value
objective-c,161034
swift,118047
iphone,96920
xcode,65746
uitableview,39959
ipad,18639
cocoa-touch,17405
core-data,14889
android,13581
uiview,11762
swift3,10728
uiviewcontroller,10368
cordova,9226
javascript,8711
uicollectionview,8208
ios7,8181
facebook,7888
uiscrollview,7864
json,7529
autolayout,7472
