id,value
java,206255
android-layout,46951
android-studio,36932
android-fragments,35335
listview,33005
android-intent,25803
eclipse,25307
xml,24957
sqlite,24945
android-activity,24293
json,21245
cordova,19763
google-maps,16210
firebase,15103
android-listview,14530
javascript,13793
android-recyclerview,13646
ios,13581
android-asynctask,13168
webview,12331
