id,value
django,86476
python-3.x,61995
pandas,58384
python-2.7,52990
numpy,42242
list,30295
matplotlib,25615
dictionary,21543
regex,20011
flask,17102
tkinter,16966
string,16116
csv,15667
arrays,15274
dataframe,14532
json,13328
google-app-engine,11393
tensorflow,11381
html,11139
mysql,10582
